heart_rate,timestamp,date
59,02:00,2024-12-22
59,02:02,2024-12-22
60,02:04,2024-12-22
61,02:06,2024-12-22
59,02:08,2024-12-22
58,02:10,2024-12-22
57,02:12,2024-12-22
59,02:14,2024-12-22
59,02:16,2024-12-22
59,02:18,2024-12-22
59,02:20,2024-12-22
59,02:22,2024-12-22
59,02:24,2024-12-22
60,02:26,2024-12-22
60,02:28,2024-12-22
59,02:30,2024-12-22
59,02:32,2024-12-22
60,02:34,2024-12-22
60,02:36,2024-12-22
60,02:38,2024-12-22
58,02:40,2024-12-22
58,02:42,2024-12-22
59,02:44,2024-12-22
59,02:46,2024-12-22
59,02:48,2024-12-22
59,02:50,2024-12-22
59,02:52,2024-12-22
59,02:54,2024-12-22
60,02:56,2024-12-22
74,02:58,2024-12-22
61,03:00,2024-12-22
55,03:02,2024-12-22
55,03:04,2024-12-22
55,03:06,2024-12-22
55,03:08,2024-12-22
54,03:10,2024-12-22
54,03:12,2024-12-22
53,03:14,2024-12-22
56,03:16,2024-12-22
56,03:18,2024-12-22
57,03:20,2024-12-22
55,03:22,2024-12-22
57,03:24,2024-12-22
58,03:26,2024-12-22
53,03:28,2024-12-22
54,03:30,2024-12-22
50,03:32,2024-12-22
52,03:34,2024-12-22
51,03:36,2024-12-22
50,03:38,2024-12-22
49,03:40,2024-12-22
50,03:42,2024-12-22
49,03:44,2024-12-22
51,03:46,2024-12-22
51,03:48,2024-12-22
50,03:50,2024-12-22
50,03:52,2024-12-22
55,03:54,2024-12-22
50,03:56,2024-12-22
48,03:58,2024-12-22
49,04:00,2024-12-22
51,04:02,2024-12-22
50,04:04,2024-12-22
51,04:06,2024-12-22
51,04:08,2024-12-22
51,04:10,2024-12-22
51,04:12,2024-12-22
50,04:14,2024-12-22
49,04:16,2024-12-22
50,04:18,2024-12-22
49,04:20,2024-12-22
50,04:22,2024-12-22
50,04:24,2024-12-22
49,04:26,2024-12-22
49,04:28,2024-12-22
50,04:30,2024-12-22
53,04:32,2024-12-22
50,04:34,2024-12-22
52,04:36,2024-12-22
50,04:38,2024-12-22
52,04:40,2024-12-22
49,04:42,2024-12-22
50,04:44,2024-12-22
48,04:46,2024-12-22
48,04:48,2024-12-22
49,04:50,2024-12-22
47,04:52,2024-12-22
47,04:54,2024-12-22
49,04:56,2024-12-22
50,04:58,2024-12-22
49,05:00,2024-12-22
50,05:02,2024-12-22
50,05:04,2024-12-22
49,05:06,2024-12-22
49,05:08,2024-12-22
49,05:10,2024-12-22
50,05:12,2024-12-22
49,05:14,2024-12-22
50,05:16,2024-12-22
48,05:18,2024-12-22
