timestamp,heart_rate
50,01:46
49,01:48
50,01:50
49,01:52
47,01:54
48,01:56
48,01:58
48,02:00
49,02:02
49,02:04
49,02:06
49,02:08
49,02:10
49,02:12
49,02:14
56,02:16
54,02:18
55,02:20
51,02:22
50,02:24
50,02:26
50,02:28
50,02:30
50,02:32
49,02:34
51,02:36
50,02:38
50,02:40
50,02:42
53,02:44
60,02:46
47,02:48
47,02:50
49,02:52
56,02:54
49,02:56
50,02:58
49,03:00
48,03:02
50,03:04
52,03:06
49,03:08
61,03:10
49,03:12
50,03:14
50,03:16
50,03:18
50,03:20
51,03:22
49,03:24
51,03:26
50,03:28
51,03:30
51,03:32
54,03:34
59,03:36
52,03:38
47,03:40
48,03:42
48,03:44
48,03:46
48,03:48
54,03:50
48,03:52
50,03:54
49,03:56
48,03:58
48,04:00
48,04:02
47,04:04
48,04:06
49,04:08
48,04:10
48,04:12
49,04:14
53,04:16
54,04:18
54,04:20
54,04:22
54,04:24
54,04:26
54,04:28
54,04:30
54,04:32
54,04:34
54,04:36
54,04:38
54,04:40
54,04:42
54,04:44
54,04:46
54,04:48
54,04:50
54,04:52
53,04:54
48,04:56
46,04:58
46,05:00
46,05:02
48,05:04
47,05:06
48,05:08
47,05:10
46,05:12
49,05:14
46,05:16
45,05:18
44,05:20
46,05:22
48,05:24
45,05:26
45,05:28
45,05:30
49,05:32
44,05:34
46,05:36
46,05:38
46,05:40
46,05:42
45,05:44
46,05:46
46,05:48
46,05:50
54,05:52
57,05:54
45,05:56
50,05:58
44,06:00
45,06:02
47,06:04
59,06:06
46,06:08
49,06:10
46,06:12
44,06:14
52,06:16
46,06:18
44,06:20
46,06:22
46,06:24
51,06:26
46,06:28
46,06:30
46,06:32
53,06:34
51,06:36
49,06:38
45,06:40
45,06:42
46,06:44
45,06:46
45,06:48
44,06:50
45,06:52
44,06:54
45,06:56
45,06:58
44,07:00
48,07:02
46,07:04
48,07:06
47,07:08
46,07:10
45,07:12
45,07:14
45,07:16
45,07:18
45,07:20
45,07:22
47,07:24
50,07:26
49,07:28
49,07:30
52,07:32
53,07:34
50,07:36
52,07:38
47,07:40
46,07:42
48,07:44
50,07:46
46,07:48
48,07:50
48,07:52
44,07:54
46,07:56
56,07:58
49,08:00
49,08:02
53,08:04
46,08:06
46,08:08
47,08:10
47,08:12
50,08:14
58,08:16
60,08:18
50,08:20
52,08:22
