heart_rate,timestamp
51,23:40
54,23:42
53,23:44
53,23:46
51,23:48
54,23:50
50,23:52
50,23:54
51,23:56
51,23:58
52,00:00
52,00:02
51,00:04
54,00:06
51,00:08
51,00:10
51,00:12
52,00:14
52,00:16
52,00:18
52,00:20
53,00:22
53,00:24
53,00:26
53,00:28
52,00:30
51,00:32
59,00:34
56,00:36
53,00:38
51,00:40
53,00:42
52,00:44
51,00:46
48,00:48
48,00:50
49,00:52
49,00:54
49,00:56
49,00:58
48,01:00
47,01:02
61,01:04
51,01:06
48,01:08
54,01:10
50,01:12
54,01:14
54,01:16
50,01:18
51,01:20
52,01:22
51,01:24
50,01:26
52,01:28
49,01:30
49,01:32
46,01:34
47,01:36
48,01:38
47,01:40
49,01:42
48,01:44
48,01:46
48,01:48
48,01:50
48,01:52
49,01:54
49,01:56
49,01:58
49,02:00
49,02:02
50,02:04
50,02:06
49,02:08
59,02:10
64,02:12
57,02:14
51,02:16
51,02:18
52,02:20
51,02:22
49,02:24
50,02:26
51,02:28
49,02:30
50,02:32
50,02:34
50,02:36
50,02:38
50,02:40
50,02:42
49,02:44
49,02:46
49,02:48
51,02:50
60,02:52
61,02:54
44,02:56
44,02:58
42,03:00
43,03:02
44,03:04
45,03:06
57,03:08
47,03:10
48,03:12
51,03:14
43,03:16
43,03:18
44,03:20
45,03:22
45,03:24
44,03:26
45,03:28
46,03:30
50,03:32
44,03:34
43,03:36
44,03:38
43,03:40
44,03:42
45,03:44
45,03:46
46,03:48
46,03:50
46,03:52
46,03:54
45,03:56
45,03:58
57,04:00
64,04:02
49,04:04
51,04:06
47,04:08
49,04:10
48,04:12
48,04:14
48,04:16
48,04:18
47,04:20
48,04:22
49,04:24
49,04:26
48,04:28
48,04:30
48,04:32
49,04:34
47,04:36
47,04:38
58,04:40
47,04:42
49,04:44
49,04:46
49,04:48
51,04:50
56,04:52
49,04:54
44,04:56
45,04:58
46,05:00
46,05:02
46,05:04
45,05:06
51,05:08
44,05:10
46,05:12
48,05:14
49,05:16
49,05:18
49,05:20
49,05:22
49,05:24
49,05:26
49,05:28
49,05:30
50,05:32
50,05:34
50,05:36
57,05:38
48,05:40
48,05:42
47,05:44
47,05:46
50,05:48
46,05:50
53,05:52
47,05:54
48,05:56
47,05:58
48,06:00
51,06:02
55,06:04
51,06:06
48,06:08
48,06:10
47,06:12
45,06:14
46,06:16
47,06:18
46,06:20
46,06:22
49,06:24
46,06:26
45,06:28
46,06:30
48,06:32
46,06:34
49,06:36
46,06:38
48,06:40
48,06:42
49,06:44
47,06:46
56,06:48
49,06:50
48,06:52
47,06:54
48,06:56
52,06:58
46,07:00
50,07:02
