start_time,end_time,sleep_stage
01:46,01:56,Light
01:56,02:15,Deep
02:15,02:17,Light
02:17,02:20,Awake
02:20,02:39,Light
02:39,02:44,Deep
02:44,02:45,Awake
02:45,03:09,Light
03:09,03:10,Awake
03:10,03:21,Light
03:21,03:34,Deep
03:34,03:35,Light
03:35,03:38,Awake
03:38,04:10,Light
04:10,04:15,Deep
04:15,04:20,Light
04:20,04:55,REM
04:55,05:13,Light
05:13,05:24,Deep
05:24,05:53,Light
05:53,06:06,REM
06:06,06:16,Light
06:16,07:05,REM
07:05,07:20,Deep
07:20,07:22,Light
07:22,07:31,Deep
07:31,07:35,Light
07:35,07:38,REM
07:38,07:41,Light
07:41,07:44,Deep
07:44,07:47,Light
07:47,07:48,Deep
07:48,08:12,Light
08:12,08:13,Deep
08:13,08:22,Light
